date,return_rank_1,return_rank_2,return_rank_3,return_rank_4,return_rank_5,return_rank_6,return_rank_7,return_rank_8,return_rank_9,return_rank_10,return_rank_11,return_rank_12,return_rank_13,return_rank_14,return_rank_15
1/1/2018,0.32%,1.34%,0.52%,1.11%,0.36%,-0.16%,-0.60%,0.49%,0.09%,0.08%,0.40%,-0.04%,0.43%,0.10%,0.48%
2/1/2018,0.27%,2.59%,0.52%,-0.24%,-0.32%,-0.40%,-0.07%,0.01%,-0.19%,-0.21%,-0.70%,-0.05%,-0.25%,-0.17%,-0.08%
3/1/2018,-0.47%,1.06%,0.24%,-0.19%,0.64%,-0.23%,0.43%,-0.14%,-0.02%,-0.10%,0.24%,0.20%,-0.03%,0.10%,-0.28%
4/1/2018,0.36%,0.72%,0.26%,-0.39%,-0.11%,0.18%,0.40%,0.46%,0.25%,0.13%,0.08%,-0.04%,0.39%,0.13%,0.04%
5/1/2018,0.89%,1.25%,0.88%,0.84%,0.87%,0.32%,0.16%,0.01%,-0.11%,-0.21%,-0.24%,-0.02%,0.09%,-0.06%,0.06%
6/1/2018,0.42%,0.22%,-0.23%,2.66%,1.39%,0.16%,0.07%,0.19%,0.53%,0.08%,-0.06%,-0.04%,-0.06%,-0.02%,0.07%
7/1/2018,0.47%,0.07%,-0.28%,0.03%,-0.15%,0.03%,0.16%,-0.06%,0.26%,0.31%,-0.09%,0.11%,0.04%,-0.04%,0.17%
8/1/2018,1.20%,0.77%,0.74%,-0.04%,1.65%,0.51%,-0.84%,0.59%,0.10%,0.39%,0.41%,0.32%,0.27%,0.05%,-0.03%
9/1/2018,0.42%,-0.80%,0.33%,0.21%,-0.48%,0.16%,-0.30%,0.30%,0.33%,0.20%,0.14%,-0.05%,0.09%,0.08%,0.07%
10/1/2018,-0.67%,-1.41%,-0.77%,-0.26%,-0.60%,-0.62%,-0.05%,-0.47%,-0.85%,-1.35%,-0.46%,-0.28%,-0.01%,-0.17%,-0.04%
11/1/2018,1.33%,-0.81%,0.20%,0.15%,0.50%,0.24%,0.17%,0.49%,0.26%,0.10%,-0.19%,0.10%,0.04%,-0.07%,0.22%
12/1/2018,-1.05%,-0.21%,-0.56%,-0.21%,-0.63%,-2.39%,0.27%,-0.10%,-0.32%,-0.64%,-0.69%,-0.15%,-0.14%,-0.77%,0.02%
1/1/2019,0.98%,2.65%,0.82%,0.21%,0.71%,0.75%,0.40%,0.80%,0.12%,0.43%,0.51%,-0.86%,0.41%,0.16%,0.00%
2/1/2019,0.73%,0.15%,0.85%,1.91%,0.07%,0.47%,0.73%,1.10%,0.29%,0.21%,0.08%,0.45%,0.22%,0.13%,0.30%
3/1/2019,-0.29%,0.38%,0.49%,1.08%,-0.42%,0.17%,0.32%,0.04%,0.25%,0.23%,0.13%,0.02%,0.14%,0.11%,0.16%
4/1/2019,0.34%,0.13%,0.74%,0.65%,0.12%,-0.05%,0.38%,0.51%,0.34%,0.23%,0.23%,0.60%,0.31%,0.23%,0.05%
5/1/2019,0.48%,-0.22%,-0.74%,0.06%,-0.22%,0.08%,-0.44%,-0.06%,-0.11%,-0.08%,0.38%,-0.15%,-0.18%,-0.21%,-0.20%
6/1/2019,1.35%,0.36%,1.43%,-0.37%,0.01%,0.26%,0.77%,0.29%,0.29%,0.37%,0.27%,0.03%,0.33%,0.28%,0.27%
7/1/2019,-0.02%,0.59%,0.54%,0.12%,-0.19%,0.07%,0.77%,0.17%,-0.15%,0.14%,0.07%,0.14%,0.44%,0.05%,0.26%
8/1/2019,-0.22%,-0.28%,0.56%,1.36%,-0.73%,0.10%,0.35%,-0.38%,0.19%,0.06%,-0.20%,-0.14%,0.05%,-0.85%,-0.16%
9/1/2019,-0.19%,0.10%,-1.38%,-1.88%,0.34%,-0.20%,0.07%,-0.22%,0.02%,-0.15%,-0.17%,-0.16%,-0.82%,-0.02%,-0.25%
10/1/2019,0.46%,0.83%,0.09%,0.21%,0.14%,-1.03%,0.74%,-0.97%,-0.11%,0.24%,0.14%,0.10%,-0.13%,0.12%,-0.02%
11/1/2019,0.58%,0.48%,1.00%,0.41%,1.60%,0.11%,0.03%,0.10%,-0.17%,0.14%,0.13%,0.13%,0.23%,0.28%,0.02%
12/1/2019,-0.17%,0.36%,0.13%,0.08%,-0.69%,0.39%,0.17%,0.15%,-0.05%,-0.01%,0.06%,0.25%,-0.12%,0.07%,0.07%
1/1/2020,0.21%,0.75%,-0.43%,0.27%,0.62%,0.30%,0.34%,-0.26%,0.54%,0.27%,2.03%,0.04%,0.21%,-0.08%,-0.13%
2/1/2020,-0.42%,-1.01%,-0.52%,-0.56%,-0.77%,-0.28%,-0.32%,0.01%,-0.55%,-0.84%,-0.08%,0.02%,0.06%,-0.05%,-0.24%
